"Country Name","Country Code","Series","Series Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"2019",
"Central African Republic","CAF","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","4.34682","","","4.59878","4.84055","4.92008","5.30166","5.39362","5.1421","5.20296","5.3621","5.65363","5.68986","","5.93014","5.9807","5.14545","5.16515","5.17678","5.38744","5.05905","4.28388","","","","","","","","","","","","","","","","","6.3947","","6.85849","6.84728","","","","","","","",
"Central Europe and the Baltics","CEB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","11.4307","11.21804","11.25262","11.27455","11.30763","11.42615","11.47745","11.58649","11.66752","11.70862","11.74164","11.80123","11.89855","11.91371","11.94333","11.98684","12.00996","12.06093","12.07215","12.04355","12.00877","11.83596","11.69786","11.92663","12.02713","12.10578","12.41423","12.75597","13.08928","13.47111","13.73299","14.03294","14.35343","14.60049","14.42113","14.6391","14.7886","14.97414","15.15444","15.28151","15.40497","15.31202","15.24371","15.75018","15.64526","15.59954","15.52002","15.56433","15.5707","",
"Chad","TCD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","2.0703","2.0443","","2.10666","2.17716","2.20281","2.34892","","","","","","","","2.52427","","","","3.09087","","","","","","","3.64664","3.97652","4.47724","","4.84538","5.12856","5.40871","5.54965","5.62633","5.46271","","","6.22656","6.62844","6.61656","7.25084","","","7.87956","7.34935","","","","",
"Channel Islands","CHI","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","10.11084","11.02499","11.47193","11.79997","11.82866","11.6333","11.36471","11.40254","11.43299","11.52009","11.40364","","11.21157","11.44944","11.41597","11.61996","11.6587","","11.7496","","","12.73247","12.7069","11.7044","","","","","12.51534","12.97222","13.15432","","13.46126","13.67539","14.01913","14.36555","14.3213","14.72467","14.8713","14.87985","15.10027","15.32625","15.43757","16.1087","16.24947","16.36504","16.41804","16.44755","","",
"China","CHN","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","6.45733","","","7.81554","7.87764","8.03469","8.36142","8.72051","8.80426","8.50386","8.13662","7.98709","","","7.46376","7.81754","8.18071","8.35936","8.54744","8.60537","8.63022","8.67032","8.77146","8.81295","8.80675","8.94741","9.0822","9.11989","","","","9.87969","","","","","11.39595","11.7249","11.9934","12.23435","12.42572","","","","","","","","","",
"Colombia","COL","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","6.76322","7.0213","7.16261","7.68132","7.86435","8.11973","8.38997","8.76111","8.96444","9.18974","9.01825","9.20667","8.87929","8.83733","9.04739","9.08445","9.25805","9.38483","9.41486","9.43216","","9.49081","10.07382","10.2588","10.3884","10.45281","11.00517","","11.72694","11.664","11.65309","","11.65293","","12.1692","12.69103","13.04908","13.31727","13.51774","13.94389","13.92935","14.02897","13.75542","14.28951","14.22658","14.29211","14.41986","14.40924","14.39861","",
"Comoros","COM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","8.18663","","","","","","","8.29559","","","","9.63955","","","","","","","","","","11.24825","11.2447","","","","","",
"Congo, Dem. Rep.","COD","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","6.70209","6.82263","6.54044","6.49154","6.93427","6.80307","6.92032","7.11962","7.55217","7.33051","7.37767","7.4198","7.6779","7.73431","7.18175","7.20592","6.45943","6.83596","","","","","","","6.7116","","","","","","","","","","","","8.00843","8.73779","8.85679","","9.54129","9.33626","9.60517","","","","","","",
"Congo, Rep.","COG","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","7.9583","8.93361","9.0384","10.13497","10.19336","11.03224","11.04494","11.72746","11.96751","12.6913","13.13153","13.5209","13.46809","13.22117","12.53042","12.85788","13.09162","12.46847","11.66384","11.00813","10.81482","10.72932","","","","","","","","","","9.15739","8.90979","","","","","","","","","10.733","","","","","","","",
"Costa Rica","CRI","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","8.44355","8.22496","8.58538","9.02943","","","","","","9.72073","9.66031","9.70806","9.50388","9.25601","9.13014","9.24528","9.4242","9.54693","9.42435","9.71652","9.79405","10.03784","10.30109","","","","","","","","","","","","12.12097","","","","","","","14.31016","14.50246","14.75022","15.11124","15.23608","15.42002","15.65154","15.90237","",
"Cote d'Ivoire","CIV","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","4.43849","4.51162","4.68257","4.75305","","4.96349","5.39112","5.46331","5.77457","6.02776","6.2752","","","6.07552","5.94857","","5.77088","","","","","","","","","","","","6.5819","","","","","","","","","","","","","","","8.53671","8.89246","9.47921","9.95474","","",
"Croatia","HRV","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","10.89051","11.40296","11.25879","11.37659","11.48885","11.86464","12.1898","12.32102","12.55932","12.90729","13.26109","","13.9509","14.25985","14.295","14.16624","14.15316","14.40383","14.54565","14.78808","15.17351","15.27311","15.22484","15.1877","15.22672","","",
"Cuba","CUB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","9.00073","9.51395","9.81916","10.06344","10.25854","11.23063","11.97986","11.60528","11.80421","12.18414","11.92841","11.84103","11.70191","11.86093","11.85922","11.97957","12.17087","12.24347","12.29883","12.21516","12.10655","11.98619","11.89202","11.36504","11.25654","11.73296","11.7249","","12.08788","12.33484","12.61675","12.97049","13.38178","14.37173","14.84122","16.119","17.01878","17.48695","17.29542","16.34538","15.64","14.70439","13.97082","13.96556","13.76952","13.81695","14.09766","14.2809","",
"Curacao","CUW","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.63962","","","","","","",
"Cyprus","CYP","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","8.69078","8.76189","8.99034","9.20279","","","","8.84253","8.88899","8.7289","8.68245","8.58542","8.59828","8.75318","8.84715","8.99186","9.05198","9.00864","9.13019","9.22617","9.34432","9.33164","12.35991","12.39345","12.51868","12.58349","12.6312","","12.51098","12.4038","12.50661","12.95118","13.3705","13.49675","13.44655","13.53202","13.71589","14.06837","14.57304","13.84634","13.79706","13.78989","14.00092","14.25613","14.57015","14.74004","15.16887","","",
"Czech Republic","CZE","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","12.11768","12.25369","12.33989","12.44065","12.57597","12.7207","12.90998","13.01598","13.02823","","","13.14398","12.90927","12.48069","12.24215","12.03018","12.06394","11.80482","11.89369","11.83513","11.8227","11.63923","11.86242","12.39513","12.72936","13.08154","13.27126","13.13522","13.20551","13.87838","14.32462","14.57212","14.83359","14.60776","14.84366","15.00054","15.29293","15.461","15.83554","16.01416","16.07697","16.07591","16.61016","16.74844","16.86044","16.83117","16.78511","","",
"Denmark","DNK","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","12.27219","","","","","","","13.32981","13.17558","13.39422","13.4701","13.48561","13.59198","13.55999","13.55613","13.66879","13.77887","13.87976","13.95027","14.06154","14.20091","14.27691","14.59694","14.92172","15.12404","15.37061","","15.74186","16.44961","16.23391","16.58344","16.31981","","16.62982","16.87528","16.72458","16.81783","16.75206","16.79486","16.94296","18.41773","18.67774","19.14091","19.13853","19.23701","19.06606","18.89342","","",
"Djibouti","DJI","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","1.95133","","","","","2.26048","","","","","2.85991","","","","","2.6928","2.78764","2.57193","2.73947","","2.9195","2.99657","","3.02145","2.97189","3.38552","3.54886","","4.0672","4.3572","4.50621","4.97239","5.33715","5.58335","","6.45621","","","","","","","","",
"Dominica","DMA","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","10.99219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","7.17098","8.10611","7.7245","","7.9098","","","","","","","","","","","11.25772","","","","","","","","","","","","","","","","","","","","","","","","","","13.63241","","13.75625","14.09283","14.14082","14.22252","","",
"Early-demographic dividend","EAR","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","6.17066","6.15654","6.26277","6.43222","6.49445","6.60913","6.70719","6.85685","6.86229","6.96035","7.11752","7.29048","7.45292","7.6538","7.80787","7.89419","7.99597","8.01165","8.07297","8.17466","8.16925","8.27896","8.36687","8.49099","8.59708","8.60319","8.72096","8.79341","8.83861","8.88973","9.04944","9.14974","9.31282","9.6073","9.76656","9.96191","10.13945","10.4385","10.62162","10.70303","10.97392","11.32197","11.54968","11.65226","11.85847","12.01921","12.26897","12.23236","12.30709","",
"East Asia & Pacific","EAS","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","6.86909","7.14778","7.433","7.80973","7.877","8.02066","8.28273","8.58516","8.74365","8.60255","8.42635","8.42632","8.31768","8.29479","8.33391","8.59633","8.82531","9.00723","9.11307","9.15258","9.062","9.11045","9.17665","9.2231","9.24838","9.37049","9.54482","9.67299","9.79639","10.05138","10.35257","10.41386","10.64365","10.86479","11.11467","11.2836","11.40745","11.73104","11.91856","12.12363","12.32943","12.48168","12.63111","12.79964","12.95726","13.11629","13.19395","13.36799","13.51028","",
